P_rf_W,2D_nSF6_m-3,2D_nSF5_m-3,2D_nSF4_m-3,2D_nSF3_m-3,2D_nSF2_m-3,2D_nSF_m-3,2D_nS_m-3,2D_nF_m-3,2D_nF2_m-3,0D_nSF6_m-3,0D_nSF5_m-3,0D_nSF4_m-3,0D_nSF3_m-3,0D_nSF2_m-3,0D_nSF_m-3,0D_nS_m-3,0D_nF_m-3,0D_nF2_m-3
200,2.0003590108775485e+19,8.346250733462759e+18,2.4650429385098215e+19,8.422821706924774e+18,1.7455515312919263e+19,1.3359721447283276e+19,1.3464538872771865e+19,5.770304730352486e+20,6.089895264158739e+17,2.6473235148529664e+19,1.2361427886495185e+19,2.562193023868112e+19,8.111998393804827e+18,1.1593540736563747e+19,6.875684002622147e+18,1.0662467605306915e+19,4.435933226589532e+20,2.286647384232738e+19
300,2.0895453533743833e+19,8.302589610829227e+18,2.470019926631273e+19,8.253281907932881e+18,1.7404695762351698e+19,1.340625362037052e+19,1.423088155616451e+19,7.417194241321738e+20,5.0417827836179046e+17,8.738971636948404e+18,6.279145900461616e+18,1.3797237150686759e+19,5.893815867898647e+18,9.901133473650979e+18,6.607798574536558e+18,1.4518603387773565e+19,6.427519198217982e+20,1.3775450783807173e+19
400,2.161166596857232e+19,8.306858849719157e+18,2.480064145696651e+19,8.124076593499365e+18,1.7212112570933098e+19,1.329767186055337e+19,1.4554482874073428e+19,8.812174624412547e+20,4.557904275120621e+17,4.769578622638271e+18,4.109927910768511e+18,9.311068354047158e+18,4.5592008370093916e+18,8.024370270847087e+18,5.526794181309005e+18,1.2935568373187598e+19,7.212927490843296e+20,9.975403822961095e+18
500,2.2311298967570424e+19,8.340349547142841e+18,2.4928987485703336e+19,8.01704714209306e+18,1.6994618474152573e+19,1.3156781305416851e+19,1.4753179910774387e+19,1.0080843024232858e+21,4.239923454550937e+17,3.24665052614873e+18,3.095286086487403e+18,7.127846296477722e+18,3.7714660315364147e+18,6.778933081098321e+18,4.733372636398647e+18,1.1148689778365129e+19,7.488124916106126e+20,7.895480331283714e+18
600,2.3012674644547424e+19,8.385741263836159e+18,2.5061608608280326e+19,7.922394050996279e+18,1.6778975849463286e+19,1.3012898793963575e+19,1.4901675335436874e+19,1.1260774042472393e+21,3.9990044622494765e+17,2.4217485560438134e+18,2.476720083264881e+18,5.76422316653217e+18,3.2176151994558065e+18,5.857130777610553e+18,4.1228359415172777e+18,9.663436558200044e+18,7.53825119938893e+20,6.45331843123229e+18
700,2.3705928905557074e+19,8.434903489607761e+18,2.5184411785455817e+19,7.835906897455457e+18,1.6572302962960843e+19,1.2874855122784307e+19,1.5025134065254404e+19,1.2370436247517782e+21,3.8039932015075955e+17,1.9106506919017472e+18,2.0578067124171144e+18,4.825378373405683e+18,2.8023039880290284e+18,5.144909859808369e+18,3.6409358729150326e+18,8.440311737291896e+18,7.452946861416158e+20,5.386742826350018e+18
800,2.437923469812777e+19,8.485248975539828e+18,2.5297353924981793e+19,7.757431845933106e+18,1.6374896761311207e+19,1.2742237374001125e+19,1.512845692762761e+19,1.3425037724725168e+21,3.6406868541408986e+17,1.5795376601803372e+18,1.766941627540835e+18,4.165729329405682e+18,2.490913699919289e+18,4.6004015397843497e+18,3.267558728694767e+18,7.473606202686802e+18,7.290855540214543e+20,4.596524816061835e+18
900,2.5037913357813027e+19,8.53249637612691e+18,2.5386834480071524e+19,7.681746228622396e+18,1.618939170152417e+19,1.2621034960502583e+19,1.5226797126136803e+19,1.4431811781733555e+21,3.4995811226347974e+17,1.3286289438027978e+18,1.5337119998540792e+18,3.6319369083471027e+18,2.2253399373865738e+18,4.1294883310265324e+18,2.941633623746247e+18,6.626529654846895e+18,7.066971562181463e+20,3.930474088454052e+18
1000,2.5668966400417042e+19,8.576396659485885e+18,2.5455524021491036e+19,7.61035692117731e+18,1.6016368614448716e+19,1.2510408141892088e+19,1.532060345368516e+19,1.5398484870683026e+21,3.37619286682543e+17,1.1283981153710596e+18,1.3372420028681267e+18,3.1789296829624356e+18,1.9894312529787046e+18,3.706546897084525e+18,2.646784736511125e+18,5.840192768959054e+18,6.769984586347889e+20,3.34904868098635e+18
