p_mTorr,2D_nSF6_m-3,2D_nSF5_m-3,2D_nSF4_m-3,2D_nSF3_m-3,2D_nSF2_m-3,2D_nSF_m-3,2D_nS_m-3,2D_nF_m-3,2D_nF2_m-3,0D_nSF6_m-3,0D_nSF5_m-3,0D_nSF4_m-3,0D_nSF3_m-3,0D_nSF2_m-3,0D_nSF_m-3,0D_nS_m-3,0D_nF_m-3,0D_nF2_m-3
5,2.806859764697419e+18,2.4102236574368123e+18,7.77250618678451e+18,5.037247502761798e+18,1.1498001928773966e+19,9.636805778131855e+18,9.63146371966957e+18,7.025391244439628e+20,1.7238816961553597e+17,8.063857112488054e+17,9.859090435331581e+17,2.3409686394777236e+18,1.5523293306515653e+18,2.8693155561436e+18,2.0323928899688445e+18,3.4026694913001687e+18,3.3887771548852466e+20,1.5381196402638008e+18
7,8.201893958967299e+18,4.815805608172782e+18,1.4518520527459052e+19,6.979458591057668e+18,1.4930209490636569e+19,1.1928030087681593e+19,1.3101116902964568e+19,1.070714914133188e+21,2.4013029512470634e+17,9.451379903671217e+17,1.1517458305262322e+18,2.738397765443262e+18,1.7876473820799857e+18,3.320004865742449e+18,2.36169063803527e+18,4.54311936828258e+18,4.820330131306077e+20,2.285033966556726e+18
10,2.5668966400417042e+19,8.576396659485885e+18,2.5455524021491036e+19,7.61035692117731e+18,1.6016368614448716e+19,1.2510408141892088e+19,1.532060345368516e+19,1.5398484870683026e+21,3.37619286682543e+17,1.1283981153710596e+18,1.3372420028681267e+18,3.1789296829624356e+18,1.9894312529787046e+18,3.706546897084525e+18,2.646784736511125e+18,5.840192768959054e+18,6.769984586347889e+20,3.34904868098635e+18
15,8.440000354822498e+19,1.2767221831087577e+19,4.190864033795592e+19,6.263167190876557e+18,1.3900517781234506e+19,1.1117639132474636e+19,1.572561667225205e+19,2.0682346618634686e+21,4.441036419529888e+17,1.4536318851610941e+18,1.6060365274127506e+18,3.8002221615561206e+18,2.1562039545500006e+18,4.0137754966431145e+18,2.875317982578969e+18,7.350152663036176e+18,9.570523704410155e+20,5.07730040938593e+18
20,1.593887505289646e+20,1.5121456539875736e+19,5.4116045365434696e+19,5.188507361781689e+18,1.2383301886686063e+19,1.0358379599447843e+19,1.5832295754366108e+19,2.354710205609918e+21,5.708861748367489e+17,1.8458466609424364e+18,1.8778437682971315e+18,4.4052451838114084e+18,2.2200044061974615e+18,4.108814287155731e+18,2.947822008309821e+18,8.260875569190098e+18,1.18237122215892e+21,6.82528317310816e+18
30,3.702277940377867e+20,1.8897831053846036e+19,7.839866799708781e+19,3.913658491454439e+18,8.782912207578932e+18,8.388504472335848e+18,1.4662866393400285e+19,2.475281971079175e+21,7.821429328654875e+17,2.620277923514683e+18,2.314069348225936e+18,5.307045216295789e+18,2.1198528775041167e+18,3.850552885217912e+18,2.767685306076275e+18,8.620498775849347e+18,1.4987164275267621e+21,9.748853327898542e+18
