gamma_Al,F_drop_pct_fulldomain
0.078,57.37013906249597
0.103,63.89424814516609
0.129,68.97046155096369
0.155,72.89287135198701
0.181,76.0141863761713
0.206,78.46669934904547
0.233,80.66344182807268
