epsilon_eV,f0_boltzmann,f0_maxwell
0.05,1.404925021474725,1.0129443419628672
0.15000000000000002,0.9115859550242411,0.9200221179840284
0.25,0.7645984166251869,0.8356240935603612
0.35000000000000003,0.6325213457826081,0.7589683031410525
0.45,0.5409293367178217,0.6893445146112209
0.55,0.47710038955826417,0.6261076488411212
0.6500000000000001,0.4493486766460385,0.5686718028915403
0.75,0.4271066766311572,0.5165048214991166
0.8500000000000001,0.40679544603468293,0.4691233665452465
0.95,0.38957970928036945,0.4260884388261653
1.05,0.37323567432203414,0.3870013106324524
1.1500000000000001,0.3552534417604305,0.35149983145245295
1.25,0.33609679837202,0.31925507257117364
1.35,0.31589307601730515,0.28996827947615217
1.4500000000000002,0.29519941536230576,0.26336810383369885
1.55,0.2746279204569538,0.2392080893891795
1.6500000000000001,0.2543172952629902,0.2172643884976785
1.75,0.2345650362953597,0.1973336881282136
1.85,0.21553189274669984,0.1792313261254922
1.9500000000000002,0.1974397221882776,0.16278958027597762
2.05,0.1802640216189476,0.14785611432609816
2.1500000000000004,0.16431767219891794,0.13429256655463112
2.25,0.14947404469037248,0.12197326782208542
2.3500000000000005,0.1356593099681401,0.11078407721953772
2.45,0.12287360931578195,0.10062132452896569
2.55,0.11101225802946713,0.09139084969674563
2.6500000000000004,0.10023949928267073,0.08300713042083627
2.75,0.0903856100572592,0.07539248976855809
2.8500000000000005,0.0813587231272475,0.06847637648337905
2.95,0.07309448767486666,0.062194711312598065
3.05,0.0655486583502452,0.05648929329951211
3.1500000000000004,0.05866485178577828,0.05130726053924024
3.25,0.052399729401245064,0.04660060040199188
3.3500000000000005,0.046710783380700296,0.04232570468589435
3.45,0.04155799656571817,0.03844296557777757
3.55,0.036902508379391644,0.03491640867840552
3.6500000000000004,0.032707749915284634,0.031713359692057144
3.75,0.028935497946517542,0.028804141692264196
3.8500000000000005,0.025550848492519946,0.026161800158809118
3.95,0.022520216078474292,0.02376185323839324
4.050000000000001,0.019817244584467122,0.021582064915086505
4.15,0.017401170676779185,0.01960223898893604
4.25,0.015250415059164692,0.01780403195390094
4.35,0.01334282476775927,0.0161707830413882
4.45,0.01165604834784829,0.01468735985470716
4.550000000000001,0.010171321159558634,0.01334001816421283
4.65,0.008862212057285561,0.012116274564110659
4.75,0.007709900458335881,0.011004790811060917
4.8500000000000005,0.006704786370019019,0.009995268772955526
4.95,0.005808241628726358,0.009078355014545575
5.050000000000001,0.004963854956788046,0.008245554135884915
5.15,0.004178062283297118,0.007489150060652492
5.25,0.0034868642500586176,0.006802134545072871
5.3500000000000005,0.0028999952137306203,0.006178142245055034
5.45,0.00241281873711457,0.005611391739932833
5.550000000000001,0.002014054370796204,0.005096631966379391
5.65,0.001689755390140405,0.004629093566194541
5.75,0.001425893312910797,0.004204444697192125
5.8500000000000005,0.0012112660418396334,0.003818750897765727
5.95,0.001034296289202026,0.0034684386332695725
6.050000000000001,0.0008830281056219887,0.003150262186464021
