T_e (eV),LXCat Biagi_v10_6 [k_att (m^3 s^-1)],Lallement Arrhenius [k_att (m^3 s^-1)]
0.8,8.521342464e-15,4.162859216e-16
0.82305764411,8.20745593e-15,4.017824726e-16
0.846115288221,7.912861873e-15,3.882912574e-16
0.869172932331,7.635937765e-15,3.757194167e-16
0.892230576441,7.375233668e-15,3.639847885e-16
0.915288220551,7.129450125e-15,3.530144384e-16
0.938345864662,6.897419338e-15,3.42743423e-16
0.961403508772,6.678089085e-15,3.331137443e-16
0.984461152882,6.470508933e-15,3.240734623e-16
1.007518796992,6.273818358e-15,3.15575938e-16
1.030576441103,6.087236491e-15,3.075791867e-16
1.053634085213,5.910053218e-15,3.000453214e-16
1.076691729323,5.741621452e-15,2.929400743e-16
1.099749373434,5.581350377e-15,2.862323822e-16
1.122807017544,5.428699552e-15,2.798940269e-16
1.145864661654,5.283173727e-15,2.738993233e-16
1.168922305764,5.144318281e-15,2.682248456e-16
1.191979949875,5.011715208e-15,2.628491893e-16
1.215037593985,4.884979557e-15,2.577527611e-16
1.238095238095,4.763756279e-15,2.529175949e-16
1.261152882206,4.647717427e-15,2.483271892e-16
1.284210526316,4.536559665e-15,2.439663633e-16
1.307268170426,4.430002035e-15,2.398211299e-16
1.330325814536,4.327783972e-15,2.358785823e-16
1.353383458647,4.229663519e-15,2.321267935e-16
1.376441102757,4.135415723e-15,2.285547267e-16
1.399498746867,4.044831197e-15,2.251521547e-16
1.422556390977,3.957714823e-15,2.219095885e-16
1.445614035088,3.873884579e-15,2.18818213e-16
1.468671679198,3.793170479e-15,2.158698286e-16
1.491729323308,3.715413616e-15,2.130567998e-16
1.514786967419,3.640465294e-15,2.103720075e-16
1.537844611529,3.568186232e-15,2.078088075e-16
1.560902255639,3.498445852e-15,2.053609911e-16
1.583959899749,3.43112162e-15,2.030227515e-16
1.60701754386,3.366098452e-15,2.007886511e-16
1.63007518797,3.303268168e-15,1.98653594e-16
1.65313283208,3.242528991e-15,1.966127991e-16
1.67619047619,3.183785093e-15,1.946617766e-16
1.699248120301,3.126946177e-15,1.927963066e-16
1.722305764411,3.071927089e-15,1.910124191e-16
1.745363408521,3.018647471e-15,1.893063759e-16
1.768421052632,2.96703143e-15,1.87674654e-16
1.791478696742,2.917007243e-15,1.861139307e-16
1.814536340852,2.86850708e-15,1.846210692e-16
1.837593984962,2.821466751e-15,1.831931063e-16
1.860651629073,2.775825468e-15,1.818272403e-16
1.883709273183,2.731525631e-15,1.805208201e-16
1.906766917293,2.688512625e-15,1.792713355e-16
1.929824561404,2.646734636e-15,1.780764078e-16
1.952882205514,2.606142474e-15,1.769337813e-16
1.975939849624,2.566689419e-15,1.758413153e-16
1.998997493734,2.528331066e-15,1.74796977e-16
2.022055137845,2.49102519e-15,1.737988347e-16
2.045112781955,2.454731618e-15,1.728450517e-16
2.068170426065,2.419412107e-15,1.719338799e-16
2.091228070175,2.385030233e-15,1.710636554e-16
2.114285714286,2.351551288e-15,1.702327924e-16
2.137343358396,2.318942182e-15,1.694397794e-16
2.160401002506,2.287171352e-15,1.686831744e-16
2.183458646617,2.256208679e-15,1.679616011e-16
2.206516290727,2.226025404e-15,1.672737449e-16
2.229573934837,2.196594062e-15,1.666183495e-16
2.252631578947,2.167888403e-15,1.659942139e-16
2.275689223058,2.139883335e-15,1.654001887e-16
2.298746867168,2.112554858e-15,1.648351739e-16
2.321804511278,2.085880009e-15,1.642981157e-16
2.344862155388,2.059836806e-15,1.637880043e-16
2.367919799499,2.034404201e-15,1.633038716e-16
2.390977443609,2.009562029e-15,1.628447887e-16
2.414035087719,1.985290966e-15,1.624098641e-16
2.43709273183,1.961572485e-15,1.619982414e-16
2.46015037594,1.938388818e-15,1.61609098e-16
2.48320802005,1.915722918e-15,1.612416432e-16
2.50626566416,1.893558422e-15,1.608951161e-16
2.529323308271,1.871879623e-15,1.605687849e-16
2.552380952381,1.850671432e-15,1.602619449e-16
2.575438596491,1.829919355e-15,1.599739173e-16
2.598496240602,1.809609461e-15,1.597040481e-16
2.621553884712,1.789728354e-15,1.594517066e-16
2.644611528822,1.770263156e-15,1.592162846e-16
2.667669172932,1.751201474e-15,1.589971952e-16
2.690726817043,1.732531383e-15,1.587938716e-16
2.713784461153,1.714241405e-15,1.586057665e-16
2.736842105263,1.696320486e-15,1.584323511e-16
2.759899749373,1.67875798e-15,1.582731141e-16
2.782957393484,1.66154363e-15,1.58127561e-16
2.806015037594,1.64466755e-15,1.579952135e-16
2.829072681704,1.62812021e-15,1.578756084e-16
2.852130325815,1.611892421e-15,1.577682973e-16
2.875187969925,1.595975318e-15,1.576728459e-16
2.898245614035,1.580360349e-15,1.575888332e-16
2.921303258145,1.565039261e-15,1.575158511e-16
2.944360902256,1.550004087e-15,1.574535036e-16
2.967418546366,1.535247133e-15,1.574014067e-16
2.990476190476,1.52076097e-15,1.573591876e-16
3.013533834586,1.506538419e-15,1.573264844e-16
3.036591478697,1.492572544e-15,1.573029452e-16
3.059649122807,1.478856641e-15,1.572882286e-16
3.082706766917,1.46538423e-15,1.572820022e-16
3.105764411028,1.452149042e-15,1.572839432e-16
3.128822055138,1.439145016e-15,1.572937373e-16
3.151879699248,1.426366286e-15,1.573110789e-16
3.174937343358,1.413807179e-15,1.573356702e-16
3.197994987469,1.4014622e-15,1.573672216e-16
3.221052631579,1.389326033e-15,1.574054506e-16
3.244110275689,1.377393529e-15,1.574500824e-16
3.267167919799,1.365659701e-15,1.575008488e-16
3.29022556391,1.354119717e-15,1.575574884e-16
3.31328320802,1.342768896e-15,1.576197464e-16
3.33634085213,1.331602703e-15,1.57687374e-16
3.359398496241,1.320616741e-15,1.577601287e-16
3.382456140351,1.309806745e-15,1.578377734e-16
3.405513784461,1.299168583e-15,1.579200769e-16
3.428571428571,1.288698243e-15,1.580068133e-16
3.451629072682,1.278391838e-15,1.58097762e-16
3.474686716792,1.268245591e-15,1.581927073e-16
3.497744360902,1.258255842e-15,1.582914384e-16
3.520802005013,1.248419034e-15,1.583937493e-16
3.543859649123,1.238731716e-15,1.584994384e-16
3.566917293233,1.229190537e-15,1.586083087e-16
3.589974937343,1.219792242e-15,1.587201673e-16
3.613032581454,1.210533669e-15,1.588348255e-16
3.636090225564,1.201411747e-15,1.589520987e-16
3.659147869674,1.192423491e-15,1.59071806e-16
3.682205513784,1.183566002e-15,1.591937703e-16
3.705263157895,1.174836458e-15,1.593178184e-16
3.728320802005,1.166232119e-15,1.594437802e-16
3.751378446115,1.157750321e-15,1.595714896e-16
3.774436090226,1.14938847e-15,1.597007834e-16
3.797493734336,1.141144045e-15,1.598315018e-16
3.820551378446,1.133014594e-15,1.599634881e-16
3.843609022556,1.124997731e-15,1.60096589e-16
3.866666666667,1.117091132e-15,1.602306537e-16
3.889724310777,1.109292537e-15,1.603655347e-16
3.912781954887,1.101599746e-15,1.605010872e-16
3.935839598997,1.094010617e-15,1.606371692e-16
3.958897243108,1.086523063e-15,1.607736413e-16
3.981954887218,1.079135054e-15,1.609103669e-16
4.005012531328,1.071844609e-15,1.610472118e-16
4.028070175439,1.064649801e-15,1.611840445e-16
4.051127819549,1.057548753e-15,1.613207359e-16
4.074185463659,1.050539633e-15,1.614571591e-16
4.097243107769,1.043620658e-15,1.615931897e-16
4.12030075188,1.036790089e-15,1.617287058e-16
4.14335839599,1.03004623e-15,1.618635874e-16
4.1664160401,1.02338743e-15,1.619977168e-16
4.189473684211,1.016812076e-15,1.621309785e-16
4.212531328321,1.010318596e-15,1.622632592e-16
4.235588972431,1.003905458e-15,1.623944475e-16
4.258646616541,9.975711646e-16,1.625244341e-16
4.281704260652,9.913142576e-16,1.626531116e-16
4.304761904762,9.851333126e-16,1.627803748e-16
4.327819548872,9.790269397e-16,1.629061202e-16
4.350877192982,9.729937825e-16,1.630302462e-16
4.373934837093,9.670325168e-16,1.631526532e-16
4.396992481203,9.611418496e-16,1.632732432e-16
4.420050125313,9.553205187e-16,1.633919202e-16
4.443107769424,9.495672911e-16,1.635085899e-16
4.466165413534,9.43880963e-16,1.636231596e-16
4.489223057644,9.382603581e-16,1.637355385e-16
4.512280701754,9.327043277e-16,1.638456375e-16
4.535338345865,9.272117491e-16,1.63953369e-16
4.558395989975,9.217815254e-16,1.640586471e-16
4.581453634085,9.164125847e-16,1.641613876e-16
4.604511278195,9.111038793e-16,1.642615078e-16
4.627568922306,9.058543851e-16,1.643589266e-16
4.650626566416,9.006631009e-16,1.644535645e-16
4.673684210526,8.955290478e-16,1.645453434e-16
4.696741854637,8.904512687e-16,1.646341869e-16
4.719799498747,8.854288276e-16,1.647200201e-16
4.742857142857,8.804608088e-16,1.648027694e-16
4.765914786967,8.75546317e-16,1.648823628e-16
4.788972431078,8.706844761e-16,1.649587297e-16
4.812030075188,8.65874429e-16,1.65031801e-16
4.835087719298,8.611153372e-16,1.65101509e-16
4.858145363409,8.564063798e-16,1.651677874e-16
4.881203007519,8.517467539e-16,1.652305713e-16
4.904260651629,8.471356732e-16,1.65289797e-16
4.927318295739,8.425723683e-16,1.653454026e-16
4.95037593985,8.380560857e-16,1.653973273e-16
4.97343358396,8.335860879e-16,1.654455114e-16
4.99649122807,8.291616526e-16,1.65489897e-16
5.01954887218,8.247820726e-16,1.655304273e-16
5.042606516291,8.20446655e-16,1.655670468e-16
5.065664160401,8.161547214e-16,1.655997013e-16
5.088721804511,8.119056072e-16,1.656283379e-16
5.111779448622,8.076986613e-16,1.656529051e-16
5.134837092732,8.035332455e-16,1.656733526e-16
5.157894736842,7.994087349e-16,1.656896313e-16
5.180952380952,7.953245168e-16,1.657016934e-16
5.204010025063,7.912799909e-16,1.657094924e-16
5.227067669173,7.872745687e-16,1.65712983e-16
5.250125313283,7.833076734e-16,1.657121211e-16
5.273182957393,7.793787394e-16,1.657068639e-16
5.296240601504,7.754872125e-16,1.656971698e-16
5.319298245614,7.716325489e-16,1.656829983e-16
5.342355889724,7.678142157e-16,1.656643104e-16
5.365413533835,7.6403169e-16,1.656410678e-16
5.388471177945,7.602844592e-16,1.656132339e-16
5.411528822055,7.565720204e-16,1.65580773e-16
5.434586466165,7.528938803e-16,1.655436506e-16
5.457644110276,7.492495548e-16,1.655018334e-16
5.480701754386,7.456385693e-16,1.654552893e-16
5.503759398496,7.420604577e-16,1.654039874e-16
5.526817042607,7.38514763e-16,1.653478977e-16
5.549874686717,7.350010364e-16,1.652869916e-16
5.572932330827,7.315188376e-16,1.652212415e-16
5.595989974937,7.280677345e-16,1.65150621e-16
5.619047619048,7.246473028e-16,1.650751049e-16
5.642105263158,7.212571259e-16,1.649946689e-16
5.665162907268,7.17896795e-16,1.649092899e-16
5.688220551378,7.145659085e-16,1.648189461e-16
5.711278195489,7.112640723e-16,1.647236165e-16
5.734335839599,7.079908992e-16,1.646232813e-16
5.757393483709,7.04746009e-16,1.645179219e-16
5.78045112782,7.015290282e-16,1.644075207e-16
5.80350877193,6.983395901e-16,1.642920612e-16
5.82656641604,6.951773343e-16,1.641715278e-16
5.84962406015,6.920419069e-16,1.640459062e-16
5.872681704261,6.889329601e-16,1.639151831e-16
5.895739348371,6.858501521e-16,1.637793461e-16
5.918796992481,6.827931472e-16,1.636383841e-16
5.941854636591,6.797616154e-16,1.634922868e-16
5.964912280702,6.767552325e-16,1.63341045e-16
5.987969924812,6.737736798e-16,1.631846507e-16
6.011027568922,6.708166439e-16,1.630230966e-16
6.034085213033,6.678838169e-16,1.628563768e-16
6.057142857143,6.649748962e-16,1.62684486e-16
6.080200501253,6.62089584e-16,1.625074202e-16
6.103258145363,6.592275879e-16,1.623251764e-16
6.126315789474,6.563886199e-16,1.621377523e-16
6.149373433584,6.535723973e-16,1.619451468e-16
6.172431077694,6.507786418e-16,1.617473599e-16
6.195488721805,6.480070797e-16,1.615443922e-16
6.218546365915,6.452574419e-16,1.613362457e-16
6.241604010025,6.425294637e-16,1.61122923e-16
6.264661654135,6.398228847e-16,1.609044278e-16
6.287719298246,6.371374487e-16,1.606807648e-16
6.310776942356,6.344729036e-16,1.604519395e-16
6.333834586466,6.318290016e-16,1.602179583e-16
6.356892230576,6.292054985e-16,1.599788288e-16
6.379949874687,6.266021544e-16,1.597345592e-16
6.403007518797,6.24018733e-16,1.594851588e-16
6.426065162907,6.214550018e-16,1.592306377e-16
6.449122807018,6.189107318e-16,1.58971007e-16
6.472180451128,6.16385698e-16,1.587062784e-16
6.495238095238,6.138796786e-16,1.58436465e-16
6.518295739348,6.113924553e-16,1.581615802e-16
6.541353383459,6.089238133e-16,1.578816386e-16
6.564411027569,6.06473541e-16,1.575966557e-16
6.587468671679,6.040414303e-16,1.573066475e-16
6.610526315789,6.01627276e-16,1.570116312e-16
6.6335839599,5.992308762e-16,1.567116247e-16
6.65664160401,5.968520321e-16,1.564066467e-16
