r_cm,nF_m-3,nF_normalized
0.15111271804043516,2.9435049822218846e+20,1.0
0.4531642392322628,2.9345834993694376e+20,0.996969095379036
0.754694815467764,2.9168709225290868e+20,0.9909515832812713
1.0553598080104576,2.8906256946645978e+20,0.9820352648027892
1.3548185378002071,2.8562295075515934e+20,0.9703498124863332
1.652735815439179,2.8141797874517957e+20,0.9560642174716251
1.9487834183683697,2.7650791965361973e+20,0.9393832228029715
2.2426415016516534,2.7096219328200235e+20,0.9205426690919626
2.5339999298610736,2.6485767827265683e+20,0.899803736947409
2.822559518817317,2.582767163910473e+20,0.877446166902999
3.1080331773526955,2.5130487617787252e+20,0.8537606618493873
3.3901469407971856,2.4402857489915095e+20,0.8290408080605579
3.668640889506067,2.365326895452096e+20,0.8035749590159162
3.9432699474146715,2.28898303580363e+20,0.7776385804096063
4.213804557286315,2.212007298014651e+20,0.7514875331873678
4.480031230979536,2.135079215077665e+20,0.7253526757974145
4.741752974668693,2.0587933642525717e+20,0.6994360045888238
4.9987895904789985,1.9836526399817718e+20,0.6739083684120096
5.250977857418331,1.9100657678084158e+20,0.6489086240195917
5.498171595782775,1.8383482569537893e+20,0.6245439596864976
5.74024162036436,1.7687257074909554e+20,0.6008910187594944
5.977075588786137,1.7013381906688426e+20,0.5779973877892332
6.208577752123996,1.6362442078294878e+20,0.5558829414973098
6.4346686156434405,1.5734223190810857e+20,0.5345403960870481
6.655284517983848,1.5127675553205774e+20,0.5139340902962138
6.870377137466866,1.4540773907878673e+20,0.49399521983831224
7.079912934397284,1.3970164512008256e+20,0.4746098476606951
7.283872538273989,1.341035471761502e+20,0.4555913714639717
7.48225008874786,1.2851859740298768e+20,0.43661756368415006
7.6750525389663204,1.227685727005229e+20,0.4170829451351969
7.862298929645567,1.179184926078887e+20,0.40060571774157056
8.044019641826567,1.1369091332068003e+20,0.3862433187894971
8.220255635814988,1.0993915811104098e+20,0.3734974419104063
8.391057683293472,1.0657440967199764e+20,0.3620663471462877
8.556485599041498,1.0353669776572586e+20,0.3517462969862952
8.716607478116956,1.0078209155436506e+20,0.3423880447394058
8.871498943756958,9.827646040065499e+19,0.3338756380377236
9.021242410654596,9.59921509741848e+19,0.32611512993508096
9.165926367673084,9.390607382108337e+19,0.31902807839040587
9.305644683477583,9.199852507368964e+19,0.3125475432497661
9.44049593800507,9.025241804406722e+19,0.3066154757310477
9.57058278215975,8.865275691809132e+19,0.30118093039941923
9.696011327620301,8.718626074362774e+19,0.29619878773847286
9.816890568178785,8.584108484003617e+19,0.29162880769184096
9.933331833602182,8.460660779722334e+19,0.2874349060328705
10.045448276616877,8.347326414518356e+19,0.2835845858911179
10.153354393265081,8.243240979895357e+19,0.2800484806270993
10.257165576569625,8.147621167510628e+19,0.27679997882525925
10.356997703168924,8.059755558077774e+19,0.27381491136440755
10.452966752345947,7.978996822915583e+19,0.27107128648012996
