global_iter,iter_in_pass,ne_avg_m-3,Te_avg_eV,eta,I_peak_A,R_plasma_Ohm,P_abs_W,F_drop_pct,rel_change
0,0,1.5327835941412042e+16,0.20014060985482296,0.9998038525122337,0.7002633214839082,4077.7635804486154,999.8038525122336,9.64112264467687e-06,0.9993940227417023
1,1,1.4320062404199046e+16,0.20012000374980068,0.9997804718976732,0.74082403836343,3643.380364703079,999.7804718976726,8.586822763945179e-06,0.9991883509895074
2,2,1.4132523702494662e+16,0.20011290732266476,0.9997726018717156,0.7539862868189572,3517.258860182919,999.7726018717157,8.494865888497571e-06,0.9988603158029008
3,3,1.6492175536527272e+16,0.8850139526853866,0.9369905489837966,12.550841706455723,11.89650801741272,936.9905489837964,74.08591307496516,0.9984044044806186
4,4,1.5926456958850932e+16,1.0271772854560333,0.9033621751429208,15.543312457217665,7.478332021474473,903.3621751429206,74.43786779346459,0.9978828352173705
5,5,2.529804107077218e+16,1.3043386478707615,0.861378695675194,18.615941040194965,4.971118688405252,861.378695675194,74.59020822361721,0.9951427135823078
6,6,6.15886533910018e+16,1.6067895607673408,0.9233301058561185,13.844664508745007,9.634343348625102,923.3301058561187,74.56931858690577,0.9823048695393497
7,7,1.1752768135479125e+17,1.9446042947110986,0.926354773825217,13.568826973506484,10.062890122726394,926.3547738252169,74.54049420788387,0.9512161105587242
8,8,1.3869676032984797e+17,2.1435033285029927,0.9423264625120409,12.007657711639586,13.071179657863402,942.3264625120408,74.56957906686884,0.9143181191283911
9,9,1.3397116476346514e+17,2.289313700119004,0.9530001666095034,10.83972248151407,16.22133693439348,953.000166609503,74.73110485696401,0.8565324267707006
10,10,1.4903187613019798e+17,2.4971788590608544,0.9553144158879212,10.569482498220852,17.102865451942378,955.3144158879215,74.86116370947077,0.7720711940180222
11,11,1.5370435811498784e+17,2.659673121166273,0.9574945348987333,10.308426783615765,18.021109193701268,957.4945348987333,74.97733148482331,0.6700822429606583
12,12,1.5666918478945123e+17,2.839254532040405,0.9456687583913077,11.654531480146712,13.92449324390206,945.6687583913075,74.9187128438055,0.5492111639174562
13,13,1.6496718169494134e+17,3.048427442969351,0.9462570909062005,11.591258462069534,14.085684706864884,946.2570909062006,74.54570397967586,0.42594405813507197
14,14,1.7041092030277782e+17,3.2389562953894986,0.9466501663045533,11.548791462253382,14.195360708467947,946.6501663045534,73.95258365674556,0.320402845844078
15,15,1.7406316509990288e+17,3.404956887124625,0.9434487597971825,11.890252331512718,13.346462520200273,943.4487597971821,73.33391928383554,0.24004884974160465
16,16,1.7731824855944688e+17,3.5221880345090955,0.9432343721996708,11.912769178525322,13.293035363124467,943.2343721996706,72.88519278347127,0.17399906341320656
17,17,1.791517955754577e+17,3.58407525896518,0.942982394328241,11.939179795086309,13.230754020178797,942.9823943282408,72.65217060708626,0.12435283461614222
18,18,1.7986067145939782e+17,3.6033203995939616,0.9434661754422685,11.888421316319862,13.350820438179511,943.4661754422686,72.58718415032322,0.0895797196714572
19,19,1.7998561383694054e+17,3.5972401846208024,0.9433418884183576,11.901482216686526,13.319778751313118,943.3418884183577,72.61520989492591,0.06264422301654932
20,0,1.8002277690044067e+17,3.5831616855076116,0.9432773880059605,11.908254699371295,13.303722869533345,943.2773880059607,72.68692479829018,0.04312093404883079
21,1,1.798310038485751e+17,3.5673152989024786,0.9432777513820548,11.90821655601135,13.303813221306344,943.2777513820547,72.75585380108657,0.029740127935325086
22,2,1.7966302802111146e+17,3.5548137835060913,0.9433053895675683,11.90531503493625,13.310688721522057,943.3053895675682,72.81276000505395,0.020564278701044384
23,3,1.7959922064050787e+17,3.5463473592855284,0.9438968262565178,11.843054266476415,13.459442855368621,943.896826256518,72.85341135432661,0.014677547650287568
24,0,1.7944963979397766e+17,3.539372063016887,0.9438968262565178,11.843054266476413,13.459442855368623,943.8968262565177,72.88039070171902,0.014808995779628638
25,1,1.7937814875095917e+17,3.5372322264003286,0.9439567358649823,11.836729292230359,13.474686036713791,943.9567358649821,72.89287135198701,0.01050591008336168
