r_cm,ne_ep,ne_en,F_ep,F_en
0.15111271804043516,1.0,1.0,1.0,1.0
0.4531642392322628,0.9948625543457399,0.9957489185695096,0.9970040212543118,0.9970910041747139
0.754694815467764,0.9846863973439302,0.987324117535073,0.9910555724347822,0.9913150218213644
1.0553598080104576,0.9696656763938748,0.9748778821648131,0.9822408997950666,0.9827553609013469
1.3548185378002071,0.9500834684226379,0.9586326470387382,0.9706873987300683,0.9715351546801112
1.6527358154391794,0.9263024416264751,0.9388740859492565,0.9565611266517323,0.9578150333727394
1.9487834183683697,0.8987530998072378,0.9159423524894956,0.9400633229014608,0.9417898319027336
2.2426415016516534,0.8679201497289301,0.8902218311150161,0.9214258603084957,0.9236842420887111
2.5339999298610736,0.8343276034575924,0.8621298156187851,0.9009056100548802,0.9037473752932378
2.8225595188173167,0.7985232647571513,0.8321045716985657,0.8787777964922745,0.8822462995677697
3.1080331773526955,0.76106325051765,0.8005932611704193,0.8553285415160201,0.8594587431747317
3.3901469407971856,0.7224971658043098,0.7680402052427818,0.8308469280253855,0.8356652920804939
3.668640889506067,0.6833544868446852,0.7348759402744398,0.8056170193794779,0.8111415217660971
3.9432699474146715,0.6441326140168657,0.701507468987162,0.7799103259526474,0.7861505615183312
4.213804557286315,0.6052869437870244,0.6683100343916634,0.753979189641301,0.7609365700729644
4.480031230979536,0.5672231796351982,0.6356206430156482,0.7280514598299823,0.7357195023147924
4.741752974668693,0.5302919724312135,0.6037334534018802,0.7023266784972556,0.7106913870393056
4.9987895904789985,0.49478585733522185,0.5728970330133679,0.6769738112318762,0.6860141502461246
5.250977857418332,0.460938346024867,0.543313383591793,0.6521303903052842,0.6618188437597239
5.498171595782775,0.42892494924515645,0.5151385545938596,0.6279028002013287,0.6382060006033585
5.740241620364359,0.3988658456820915,0.4884846082557317,0.6043673415628597,0.6152467430229215
5.977075588786136,0.37082987960674557,0.46342266940690924,0.581571642886828,0.5929842022278268
6.208577752123996,0.3448395588752142,0.4399867851147368,0.5595359162785225,0.5714347352064607
6.4346686156434405,0.3208767328352729,0.4181783288802066,0.5382534107704163,0.550588277674199
6.655284517983848,0.2988886521840059,0.3979707064064635,0.5176890802587205,0.5304068251880516
6.870377137466866,0.27879414565729005,0.37931415039310445,0.4977746805664559,0.5108192051187002
7.079912934397284,0.2604896878467358,0.36214042667746654,0.4783965880501029,0.4917083152736111
7.283872538273989,0.24385517524667216,0.34636731056715475,0.4593679477678575,0.4728821630924771
7.48225008874786,0.2287592713349819,0.3319027285056606,0.4403650874565475,0.4540079769151094
